sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,thumb_ext_angle,index_ext_angle,middle_ext_angle,ring_ext_angle,pinky_ext_angle,hand_state
0,2096.481871185526,1302.547908133019,1289.4497858822092,10987.692891084302,0.0,0.0,0.0,0.0,143.04,148.13,141.16,146.19,153.65,Open
1,2107.769502135456,1312.002696037614,1242.3546603148773,10747.07636202292,0.0,0.0,0.0,0.0,143.04,148.13,141.16,146.19,153.65,Open
2,2157.345671337327,1370.988949655169,1306.2806494570557,10853.582424352458,0.0,0.0,0.0,0.0,143.04,148.13,141.16,146.19,153.65,Open
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
4,-1315.8918995728377,-1648.1729326454322,-1542.382126138464,10810.532964531538,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
5,-1233.749238699584,-1588.5161266942175,-1436.3454504424872,10952.712411011746,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
6,-1102.365684791289,-1557.1566292234218,-1294.4118731512874,11220.21808865286,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
7,-1121.6999437451295,-1589.2537342612427,-1331.0240305690802,11246.03435349874,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
8,-1201.42861621721,-1648.1952843898875,-1411.5350140970963,11031.770531150169,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
9,-1297.384655163843,-1647.0553454226667,-1510.799111223115,10820.211269880683,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
10,-1220.4275990042208,-1581.0953475350557,-1428.768209072138,10962.055440194064,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
11,-1082.0926525703255,-1540.63869007095,-1285.4488236247091,11227.996495723308,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
12,-1110.4793680285654,-1576.2226672437987,-1322.910347331804,11251.354068679104,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
13,-1179.300389206456,-1626.0670573791335,-1393.9441912107698,11031.859938127987,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
14,-1287.907515514793,-1633.6666504939378,-1504.3618088199864,10820.23362162514,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
15,-1193.6725608912184,-1564.9350362938687,-1406.3941128723757,10964.894111739888,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
16,-1067.027576807449,-1525.283041630154,-1273.5353438300306,11230.142263191015,0.0,0.0,0.0,0.0,141.17,146.74,140.07,145.06,151.89,Open
17,-1101.046931868426,-1561.1352397364665,-1313.7908355940383,11250.214129711883,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
18,-1171.94666528066,-1619.0262578757115,-1384.020016672613,11028.149548548408,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
19,-1260.5713320459524,-1614.8464816625694,-1383.9753131837026,10817.57376403496,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
20,-1181.5132119075313,-1548.8194285415923,-1306.2582977126,10958.88149248141,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
21,-1055.6058353907868,-1516.990544437235,-1264.0805559254356,11221.872117742554,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
22,-1083.657274682197,-1551.92632102088,-1302.682018599751,11243.150978464006,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
23,-1149.1031824473362,-1599.7143506663265,-1372.5535717670407,11024.863842113476,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
24,-1257.5091430555754,-1610.1749670714105,-1485.765157433171,10822.222926881665,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
25,-1187.3693689548218,-1549.5570361086177,-1395.642923789373,10970.571454831535,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
26,-1059.852666837295,-1375.0569671460353,-1265.4663640816646,11234.79142603772,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
27,-1070.559152431387,-948.183351538581,-1293.87543128436,11248.202472710906,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
28,-1150.3995836257438,-924.1775779935812,-1365.289254819066,11018.627705410448,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
29,-1220.204081559668,-902.6751998275756,-1357.063812859513,10803.8497929394,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
30,-1132.7640572505063,-831.1049140816825,-1276.6869397982289,10943.59289927398,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
31,-1021.8994047521836,-810.2730882493363,-1243.4498957931871,11205.153012889985,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
32,-1052.1636667446694,-844.9853473884282,-1284.8676782688713,11221.93917297592,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
33,-1109.3841325502551,-896.6402288246428,-1348.3913360108538,10998.824059823044,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
34,-1192.174994012713,-893.3545223897127,-1348.83837089996,10790.9975398776,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
35,-1121.5434815339424,-824.8687773786519,-1266.651006537796,10937.133245126395,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
36,-990.986942170494,-783.9427332809846,-1222.1710350717349,11202.113175644065,0.0,0.0,0.0,0.0,141.68,146.7,140.02,144.35,150.79,Open
