sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,thumb_ext_angle,index_ext_angle,middle_ext_angle,ring_ext_angle,pinky_ext_angle,hand_state
0,7569.64177723429,1776.1366696520652,9477.519628705935,16041.131739751308,0.0,0.0,0.0,0.0,175.2,172.06,175.23,175.28,176.04,Open
1,7233.560947604293,1412.026752475113,9192.847811323143,15850.76193222546,0.0,0.0,0.0,0.0,175.2,172.06,175.23,175.28,176.04,Open
2,6994.598447632605,1282.230172423145,9010.770500990213,16374.172732135385,0.0,0.0,0.0,0.0,175.2,172.06,175.23,175.28,176.04,Open
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
4,7813.521660986145,2063.4236411361267,10663.614948226805,14500.224828746896,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
5,7833.370010062458,1338.5342167060635,10663.25732031552,11966.833408693485,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
6,7092.834364513679,763.7144045489317,9981.149134772912,13331.407407689978,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
7,6625.615850164396,1115.5755657643756,9578.527161899468,16564.56489140569,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
8,7233.203319693008,1998.11184383772,10167.11564864107,16920.024683478438,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
9,7841.416638066368,2104.5284991894364,10699.243628888564,14515.73693939888,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
10,7908.650685387932,1413.61372633144,10748.015135290045,12048.506682933174,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
11,7217.579450318748,875.9425134590285,10122.72508415283,13418.154527921026,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
12,6707.624400570918,1181.8261363299057,9665.788372252986,16625.406339813035,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
13,7210.6280577931475,1976.4082999716163,10149.591880988108,16915.889610754206,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
14,7795.193230532794,2052.247768908473,10633.48479670105,14517.100395810652,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
15,7860.437972597835,1355.096859347446,10675.081393132376,12017.258944184656,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
16,7161.677737436025,813.7152568954536,10063.828237513097,13401.994216679836,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
17,6672.688623987273,1145.303385889934,9636.686400972176,16612.174107095492,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
18,7206.068301924265,1965.232427743963,10132.135168568511,16925.165584703158,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
19,7801.295256769092,2056.941635244088,10660.485704003062,14522.30835226874,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
20,7861.689670287332,1367.6138362424178,10700.808251000435,12022.645714598384,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
21,7169.634958462115,831.5966524596993,10088.638673858486,13370.388850020034,0.0,0.0,0.0,0.0,175.04,171.98,175.14,175.32,175.57,Open
22,6668.151219862845,1148.4773336025876,9640.709714974131,16585.821400382687,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
23,7207.498813569405,1979.4928407064488,10134.705619180872,16939.671866854653,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
24,7815.913297642863,2084.501336157481,10678.143582122751,14540.457968766448,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
25,7896.401929426423,1393.0501214325573,10723.428216389206,12042.449360185788,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
26,7195.205354118986,844.8512369216963,10091.075014004116,13402.307141102212,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
27,6681.405804324842,1145.102220189836,9637.021677139006,16592.817496397198,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
28,7194.646560507604,1958.750421851924,10144.316869296656,16931.736997573018,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
29,7774.227294233716,2052.493638097482,10654.9648231226,14514.172317287008,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
30,7883.1920484533375,1388.7809382415935,10714.554573840447,12031.80992982506,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
31,7197.127604142142,842.5937107317103,10093.62311287202,13410.13025166157,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
32,6695.666217287328,1151.5395225929649,9651.57266277941,16606.027377370283,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
33,7210.940982215522,1968.1158027786976,10144.227462318831,16966.628070667753,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
34,7792.77924213162,2059.221513178529,10659.658689458214,14561.69212599899,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
35,7867.098792445517,1376.6886444912725,10714.867498262824,12024.255040199168,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
36,7170.171400329042,827.8192076467524,10115.416063715944,13350.227576521347,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
37,6664.932568661281,1132.7417055060514,9674.371442123824,16507.634998278023,0.0,0.0,0.0,0.0,174.86,171.96,175.2,175.28,176.07,Open
38,7192.56784827326,1957.8116485848009,10137.678401193429,16914.369692131244,0.0,0.0,0.0,0.0,174.67,172.06,175.33,175.4,175.9,Open
39,7811.554707474078,2079.8521733107773,10668.085297117865,14586.256693155372,0.0,0.0,0.0,0.0,174.67,172.06,175.33,175.4,175.9,Open
40,7884.443746142834,1392.9160109658255,10711.715902294623,12053.893453346904,0.0,0.0,0.0,0.0,174.67,172.06,175.33,175.4,175.9,Open
