sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,thumb_ext_angle,index_ext_angle,middle_ext_angle,ring_ext_angle,pinky_ext_angle,hand_state
49,6680.444679313265,613.5777370426342,5715.855147344488,22281.917605628685,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
50,6312.669076045642,298.082864055975,5414.888908253778,22389.831827858907,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
51,6198.049330478827,303.9390211032654,5364.865704162801,22897.1046682721,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
52,6580.77825078705,715.5016917588343,5711.965943809265,23125.58420009425,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
53,6853.804809308625,889.0629874542938,5910.896469461497,22709.953511947813,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
54,6689.161859650834,642.165618200972,5726.829853872044,22295.619224979782,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
55,6344.073277005348,341.3781930659048,5446.069591768932,22407.646168189785,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
56,6231.733409372975,334.71737321822326,5394.9064487107335,22922.87622962907,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
57,6588.958989257692,702.1353485745608,5743.973641869265,23134.10021473172,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
58,6841.958384747313,864.3196063422688,5915.3221148636485,22699.738764731737,0.0,0.0,0.0,0.0,169.64,170.21,172.16,167.85,157.1,Open
59,6661.98213839318,618.6068795450783,5684.629760340424,22258.15770127269,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
60,6323.576727339831,327.8777394148993,5410.016227962521,22376.644298630275,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
61,6210.052217251327,321.61925096741334,5374.544009511949,22895.92002581597,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
62,6578.610131574886,698.2908485282479,5713.08353103203,23125.226572182964,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
63,6850.563806362607,878.0435774378274,5903.028655413229,22705.505514801207,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
64,6698.616647555429,655.7554788297986,5734.742371409223,22311.93599843216,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
65,6342.307489193379,352.531713549103,5456.485504685104,22388.46837144713,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
66,6215.729560342975,333.1303993618965,5382.300064837941,22876.317545928665,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
67,6578.431317619243,700.7271886738764,5707.875574573944,23108.86509524168,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
68,6824.456968838807,852.7414027144198,5892.21041109686,22698.77763972016,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
69,6630.510882200108,601.8207194591427,5688.586019109013,22281.515274228488,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
70,6307.841099243296,328.92827140429875,5435.6983823416695,22363.166196723723,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
71,6228.559461660321,340.5064750321478,5419.426312378206,22845.405083346974,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
72,6598.838460306938,713.8923661580523,5746.90172039291,23092.078935155743,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
73,6848.887425528458,893.086301456249,5924.5980888126005,22732.90875350341,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
74,6682.366929336421,664.2938452117259,5747.594624471024,22346.670609315708,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
75,6342.709820593575,356.5773792955136,5469.315406002451,22375.638470129787,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
76,6235.399095463646,342.853408199955,5411.267925652019,22827.926019182923,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
77,6588.422547390765,692.479394969868,5723.924127092854,23078.265557082363,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
78,6828.301468885121,864.4313650645454,5903.676856002433,22732.97580873678,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
79,6663.725574460695,660.2481794653153,5730.2496707737055,22347.34116164937,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
80,6345.503788650488,373.0729667035302,5469.315406002451,22409.724880424128,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
81,6237.075476297793,346.5861495239913,5419.649829822759,22829.20006861688,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
82,6598.167907973279,710.1819765784713,5751.394421028426,23072.65526922408,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
83,6853.916568030902,887.3419031312351,5945.318155922671,22742.5200036192,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
84,6683.797440981561,665.3890806900359,5750.075668105563,22361.66862984522,0.0,0.0,0.0,0.0,169.62,170.2,172.17,167.92,156.84,Open
85,6338.664154847164,370.5248678356252,5459.592397164392,22389.29538599198,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
86,6241.322307744302,366.143925922385,5429.708114827647,22838.31958035464,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
87,6600.872469052371,723.6153749961109,5759.172828098873,23078.332612315728,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
88,6857.962233777313,896.3273044022685,5944.692307077922,22740.485994873765,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
89,6701.701188290262,685.2150780218933,5766.772421213677,22378.05245853096,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
90,6338.462989147066,369.3849288684045,5453.22214999463,22392.24581626008,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
91,6208.219374205992,329.0400301265753,5388.200925374142,22798.488771735287,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
92,6571.837553004927,690.8030141357201,5725.801673627099,23049.32004801274,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
93,6828.055599696112,871.3157023567799,5920.395960855003,22708.0089101802,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
94,6656.595367979452,658.3929846755249,5736.441103987826,22316.45105081213,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
95,6336.585442612821,382.1254232079296,5462.408716965761,22390.748249381573,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
96,6250.642985182165,375.4869551047033,5431.205681706153,22844.779234502224,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
97,6595.061015493991,720.2626133278147,5740.240900545228,23070.442446523008,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
98,6848.149817961433,895.053254968316,5925.134530679528,22743.056445486123,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
99,6695.934438220792,689.9759995908737,5761.206836844306,22341.3732458798,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
100,6342.151026982192,377.99035048369774,5474.925693860733,22351.65504832924,0.0,0.0,0.0,0.0,169.58,170.39,172.2,167.84,156.88,Open
101,6233.432141951578,359.08077467450795,5430.535129372493,22822.069862135635,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
102,6592.78113755955,730.5891192661667,5759.731621710256,23084.680507741035,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
103,6843.1653789479,906.340885918246,5927.257946402782,22735.76977679369,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
104,6688.044272428068,683.0246070652732,5753.674298962867,22324.005940438023,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
105,6339.737038581019,366.3450916224828,5472.802278137479,22345.016580226016,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
106,6223.820891835796,360.243065386184,5421.773245546013,22807.1836003284,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
107,6577.447840863209,739.9097967040296,5743.593662213524,23070.062466867264,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
108,6849.40151565093,903.8821940281624,5939.663164575478,22738.049654728136,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
109,6708.719636049228,694.8933833710413,5775.4448980623365,22324.94471370515,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
110,6358.713669623575,398.01751351565287,5488.18027832273,22343.630772069788,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
111,6229.721752371997,356.6891380177901,5419.381608889295,22818.65004523397,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
112,6569.580026814941,697.9108688725078,5733.624784186457,23071.112998856664,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
113,6833.9564602323135,884.8832112411513,5935.908071506986,22700.655186254407,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
114,6686.881981716393,688.7913571347425,5763.196142100828,22291.12652434427,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
115,6366.089745293826,401.7502548396892,5509.503842533093,22351.364475651324,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
116,6241.121142044204,378.593847583991,5448.483580170105,22826.316693582143,0.0,0.0,0.0,0.0,169.44,170.46,172.29,167.91,156.82,Open
117,6580.308864153489,735.1712268795046,5732.909528363887,23101.377260849156,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
118,6848.1051144725225,916.8462058122404,5928.330830136637,22746.45391064333,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
119,6716.229822186211,714.9876016363623,5783.29036036615,22326.643446283757,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
120,6354.288024221423,389.9932372561976,5472.534057204015,22340.009789468026,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
121,6212.42150216359,346.1838181237958,5400.963771458122,22807.652986961963,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
122,6581.15823044279,728.8903866875634,5752.266139062183,23113.44720285501,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
123,6843.388896392453,914.1639964776036,5942.5018361213015,22736.52973610517,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
124,6709.054912216057,708.7961684222423,5773.5673515280905,22312.94182693265,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
125,6370.627149418253,410.7356561107226,5502.463043029671,22350.358647150835,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
126,6238.729505387486,387.6686558328457,5434.670202096725,22829.04360640569,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
